X	Y	Heading
10.00	5.00	180.00
9.97	5.52	186.00
9.89	6.04	192.00
9.76	6.55	198.00
9.57	7.03	204.00
9.33	7.50	210.00
9.05	7.94	216.00
8.72	8.35	222.00
8.35	8.72	228.00
7.94	9.05	234.00
7.50	9.33	240.00
7.03	9.57	246.00
6.55	9.76	252.00
6.04	9.89	258.00
5.52	9.97	264.00
5.00	10.00	270.00
4.48	9.97	276.00
3.96	9.89	282.00
3.45	9.76	288.00
2.97	9.57	294.00
2.50	9.33	300.00
2.06	9.05	306.00
1.65	8.72	312.00
1.28	8.35	318.00
0.95	7.94	324.00
0.67	7.50	330.00
0.43	7.03	336.00
0.24	6.55	342.00
0.11	6.04	348.00
0.03	5.52	354.00
0.00	5.00	0.00
0.03	4.48	6.00
0.11	3.96	12.00
0.24	3.45	18.00
0.43	2.97	24.00
0.67	2.50	30.00
0.95	2.06	36.00
1.28	1.65	42.00
1.65	1.28	48.00
2.06	0.95	54.00
2.50	0.67	60.00
2.97	0.43	66.00
3.45	0.24	72.00
3.96	0.11	78.00
4.48	0.03	84.00
5.00	0.00	90.00
5.52	0.03	96.00
6.04	0.11	102.00
6.55	0.24	108.00
7.03	0.43	114.00
7.50	0.67	120.00
7.94	0.95	126.00
8.35	1.28	132.00
8.72	1.65	138.00
9.05	2.06	144.00
9.33	2.50	150.00
9.57	2.97	156.00
9.76	3.45	162.00
9.89	3.96	168.00
9.97	4.48	174.00
